number,timestamp,txCount,label,interval
121,2025-06-30 13:00:30,11,1,30.0
122,2025-06-30 13:01:00,10,1,30.0
123,2025-06-30 13:01:30,22,1,30.0
124,2025-06-30 13:02:00,14,1,30.0
125,2025-06-30 13:02:30,18,1,30.0
126,2025-06-30 13:03:00,16,1,30.0
127,2025-06-30 13:03:30,23,1,30.0
128,2025-06-30 13:04:00,18,1,30.0
129,2025-06-30 13:04:30,13,1,30.0
130,2025-06-30 13:05:00,11,1,30.0
131,2025-06-30 13:05:30,17,1,30.0
132,2025-06-30 13:06:00,17,1,30.0
133,2025-06-30 13:06:30,24,1,30.0
134,2025-06-30 13:07:00,19,1,30.0
135,2025-06-30 13:07:30,14,1,30.0
136,2025-06-30 13:08:00,12,1,30.0
137,2025-06-30 13:08:30,11,1,30.0
138,2025-06-30 13:09:00,13,1,30.0
139,2025-06-30 13:09:30,10,1,30.0
140,2025-06-30 13:10:00,16,1,30.0
141,2025-06-30 13:10:30,11,1,30.0
142,2025-06-30 13:11:00,24,1,30.0
143,2025-06-30 13:11:30,16,1,30.0
144,2025-06-30 13:12:00,10,1,30.0
145,2025-06-30 13:12:30,10,1,30.0
146,2025-06-30 13:13:00,10,1,30.0
147,2025-06-30 13:13:30,24,1,30.0
148,2025-06-30 13:14:00,16,1,30.0
149,2025-06-30 13:14:30,24,1,30.0
150,2025-06-30 13:15:00,19,1,30.0
151,2025-06-30 13:15:30,10,1,30.0
152,2025-06-30 13:16:00,19,1,30.0
153,2025-06-30 13:16:30,10,1,30.0
154,2025-06-30 13:17:00,17,1,30.0
155,2025-06-30 13:17:30,18,1,30.0
156,2025-06-30 13:18:00,11,1,30.0
157,2025-06-30 13:18:30,15,1,30.0
158,2025-06-30 13:19:00,23,1,30.0
159,2025-06-30 13:19:30,20,1,30.0
160,2025-06-30 13:20:00,11,1,30.0
161,2025-06-30 13:20:30,24,1,30.0
162,2025-06-30 13:21:00,14,1,30.0
163,2025-06-30 13:21:30,10,1,30.0
164,2025-06-30 13:22:00,23,1,30.0
165,2025-06-30 13:22:30,12,1,30.0
166,2025-06-30 13:23:00,10,1,30.0
167,2025-06-30 13:23:30,14,1,30.0
168,2025-06-30 13:24:00,17,1,30.0
169,2025-06-30 13:24:30,18,1,30.0
170,2025-06-30 13:25:00,20,1,30.0
171,2025-06-30 13:25:30,21,1,30.0
172,2025-06-30 13:26:00,11,1,30.0
173,2025-06-30 13:26:30,19,1,30.0
174,2025-06-30 13:27:00,17,1,30.0
175,2025-06-30 13:27:30,20,1,30.0
176,2025-06-30 13:28:00,23,1,30.0
177,2025-06-30 13:28:30,21,1,30.0
178,2025-06-30 13:29:00,21,1,30.0
179,2025-06-30 13:29:30,16,1,30.0
180,2025-06-30 13:30:00,17,1,30.0
181,2025-06-30 13:30:30,21,1,30.0
182,2025-06-30 13:31:00,11,1,30.0
183,2025-06-30 13:31:30,14,1,30.0
184,2025-06-30 13:32:00,15,1,30.0
185,2025-06-30 13:32:30,10,1,30.0
186,2025-06-30 13:33:00,17,1,30.0
187,2025-06-30 13:33:30,20,1,30.0
188,2025-06-30 13:34:00,19,1,30.0
189,2025-06-30 13:34:30,17,1,30.0
190,2025-06-30 13:35:00,20,1,30.0
191,2025-06-30 13:35:30,15,1,30.0
192,2025-06-30 13:36:00,23,1,30.0
193,2025-06-30 13:36:30,14,1,30.0
194,2025-06-30 13:37:00,17,1,30.0
195,2025-06-30 13:37:30,12,1,30.0
196,2025-06-30 13:38:00,11,1,30.0
197,2025-06-30 13:38:30,17,1,30.0
198,2025-06-30 13:39:00,10,1,30.0
199,2025-06-30 13:39:30,11,1,30.0
